actual_costs_to_report_date,project_id,department,category,subcategory,project_description,initial_costs,cap_ex_2019,op_map
8929021.87,1806100218,Public Works,Local Streets,Street Renewals,LSR 18-RI-01 AECOM,4510217.82,4418804.05,Road Maintenance
16430035.19,4210000217,Transit,Transit Buses,2017 Transit Buses,Transit Buses 2017,12452540.83,3977494.36,Public Transit
3938267.81,1804101619,Public Works,Regional Streets,Streets Renewals,Roblin WB-Shft-Assin PrkD-NBCF,NA,3938267.81,Road Maintenance
4071366.48,1804100919,Public Works,Regional Streets,Streets Renewals,Inkster-Milner/Fife-NBCF,180492.14,3890874.34,Road Maintenance
3294705.61,2039100119,Sewage Disposal Utility,Collection,Sewer Renewals,2019 Sewer Renewals          P,NA,3294705.61,Water & Waste
2981171.69,6331001219,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,PSB and Civic Cntr Car Prk,NA,2981171.69,Misc Capital Expenditure
2882640.72,1806100519,Public Works,Local Streets,Street Renewals,LSR 19-R-03 A WSP,NA,2882640.72,Road Maintenance
15607657.55,2039100116,Sewage Disposal Utility,Collection,Sewer Renewals,2016 Sewer Renewals          P,12881024.62,2726632.93,Water & Waste
3832091.82,1804100717,Public Works,Regional Streets,Streets Renewals,St. James-Sargent/Ellice,1121346.61,2710745.21,Road Maintenance
2679343.36,1806100619,Public Works,Local Streets,Street Renewals,LSR 19-R-04 B AECOM,NA,2679343.36,Road Maintenance
2678373.09,8330000119,Winnipeg Fleet Management Agency,Fleet Asset Acquisitions,Fleet Asset Acquisitions,Fleet Asset Acquisitions,NA,2678373.09,Fleet
2666691.19,1806102119,Public Works,Local Streets,Street Renewals,LSR 19-R-01(A) In-House,NA,2666691.19,Road Maintenance
3787948.91,3403000118,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,Core Inform Technology ProgrRP,1127977.5,2659971.41,"Innovation, Transformation & Technology"
2653901.1,1806100219,Public Works,Local Streets,Street Renewals,LSR 18-RI-02 WSP,0,2653901.1,Road Maintenance
2564269.12,1850000219,Public Works,Parks and Open Space,"Reforestation, Streets and Aesthetic Improvements",Urban Forest Enhancement,NA,2564269.12,Parks and Urban Forestry
2519880.99,1806101219,Public Works,Local Streets,Street Renewals,LSR 19-R-02 B KGS,NA,2519880.99,Road Maintenance
11748186.95,2039100117,Sewage Disposal Utility,Collection,Sewer Renewals,2017 Sewer Renewals         P,9380085.27,2368101.68,Water & Waste
2294734.28,2062000419,Solid Waste Disposal Utility,Collection and Disposal,Brady Road,Brady Road Resource Mgmt Facil,NA,2294734.28,Solid Waste Collection
2256144.49,4230020117,Transit,Rapid Transit,Rapid Transit Planning,Rapid Transit Master Plan,0,2256144.49,Public Transit
3668943.13,1806100119,Public Works,Local Streets,Street Renewals,LSR 18-RI-01 AECOM,1420607.65,2248335.48,Road Maintenance
2183523.61,1806100919,Public Works,Local Streets,Street Renewals,LSR 19-R-03 B WSP,NA,2183523.61,Road Maintenance
2180785.07,1806100719,Public Works,Local Streets,Street Renewals,LSR 19-R-05 Dillon,NA,2180785.07,Road Maintenance
2049000,1807000517,Public Works,Regional Streets,Developer Paybacks,Tuxedo Yards Development,NA,2049000,Road Maintenance
1989685.83,2038000119,Sewage Disposal Utility,Collection,CSO and BF Strategy,2019 CSO Bsmt Flood Man Strat,NA,1989685.83,Water & Waste
10569790.44,1804101616,Public Works,Regional Streets,Streets Renewals,Pembina-Grant/Osborne,8657576.63,1912213.81,Road Maintenance
1907418.91,1806100419,Public Works,Local Streets,Street Renewals,LSR 19-R-02 A KGS,NA,1907418.91,Road Maintenance
1890001.07,1804101219,Public Works,Regional Streets,Streets Renewals,Coryd WB-Cordova-Lanark-NBCF,NA,1890001.07,Road Maintenance
1780000,4230010519,Transit,Rapid Transit,SWRT Stg2 & Pembina UP Upfront,SWRT2 2019 P3 Payment,NA,1780000,Public Transit
1874545.84,1804100819,Public Works,Regional Streets,Streets Renewals,Ellice-Arlington/Maryland-NBCF,133404.6,1741141.24,Road Maintenance
1745409.16,1806101418,Public Works,Local Streets,Street Renewals,LSR 18-R-08- Waverley St,30029.94,1715379.22,Road Maintenance
1701484.57,1805000119,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Waterway Crossing & Grade Sep,NA,1701484.57,Road Maintenance
1680600.18,2030000517,Sewage Disposal Utility,Treatment,Reliability Upgrades,Asset Refurbish/Replace,0,1680600.18,Water & Waste
1597828.13,2035000118,Sewage Disposal Utility,Collection,Lift Stations,Lift Stations Upgrading,0,1597828.13,Water & Waste
1761061.02,2030000516,Sewage Disposal Utility,Treatment,Reliability Upgrades,Asset Refurbish/Replace,202279.82,1558781.2,Water & Waste
6168871.64,1850000218,Public Works,Parks and Open Space,"Reforestation, Streets and Aesthetic Improvements",Urban Forest Enhancement,4611197.89,1557673.75,Parks and Urban Forestry
1547057.75,400000116,City Clerks,City Clerks,City Archives,City Archives Management,NA,1547057.75,Misc Capital Expenditure
2585128.21,2078500216,Land Drainage and Flood Control Utility,Flood Control,Outfalls,Outfall Gate Structures,1088340.39,1496787.82,MIsc Capital Expenditure
1422492.48,4210010219,Transit,Transit Building Replacement/Refurbishment,Building Upgrades,Trn Bldg Roof and Ventil Upgra,NA,1422492.48,Public Transit
1397210.31,4210001619,Transit,Transit Security Enhance,Transit Safety Mgmt Practices,Bus Op Comp Safety Shields,NA,1397210.31,Public Transit
1366443.15,1806101419,Public Works,Local Streets,Street Renewals,Residential TBO B,NA,1366443.15,Road Maintenance
1323618.31,1806101319,Public Works,Local Streets,Street Renewals,Residential TBO A,NA,1323618.31,Road Maintenance
1272108.32,1804101319,Public Works,Regional Streets,Streets Renewals,Memor Blvd-Yrk-St Mary Av-NBCF,NA,1272108.32,Recreation
1466401.04,1804102216,Public Works,Regional Streets,Streets Renewals,St. James-Sargent/Ellice,228644.5,1237756.54,Road Maintenance
3005024.27,2013500317,Waterworks Utility,Distribution,Water Main Renewals,N St Boniface Water Main,1812992.83,1192031.44,Water & Waste
1190393.62,4210010319,Transit,Transit Building Replacement/Refurbishment,2019 Building General,Garage Improvements Phase 2,NA,1190393.62,Public Transit
1449457.45,6210634114,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Fac Redev-Cornish    M,280770.97,1168686.48,Libraries
2901199.48,1806300318,Public Works,Local Streets,Lane Renewals,Lane Renewals - 18-RL-01C,1752450.61,1148748.87,Road Maintenance
2179511.94,2035000117,Sewage Disposal Utility,Collection,Lift Stations,Lift Stations Upgrading,1176996.67,1002515.27,Water & Waste
968000,6331002819,Municipal Accommodations,Police Response,Lease,East District Police Stn Lease,NA,968000,Police Service
17765530.89,1805001118,Public Works,Local Streets,Disraeli Bridge,Disraeli Bridges-Future Pmnt,16816709.21,948821.68,Road Maintenance
939176.15,1804101519,Public Works,Regional Streets,Streets Renewals,Cory EB-Borbnk-Brock St-NBCF,NA,939176.15,Road Maintenance
2659195.54,1805000118,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Waterway Crossing & Grade Sep,1725931.95,933263.59,Road Maintenance
1323763.17,6213002114,Community Services (including Community Incentive Grants),Library,Library Redevelopment- New,Library Fac Redev-River Hts  M,402099.21,921663.96,Libraries
36591340.45,1803000213,Public Works,Regional Streets,Street Improvements,Polo Park-Infrastructure Imp M,35690406.58,900933.87,Road Maintenance
900059.6,1831100119,Public Works,Regional Streets,Traffic Engineering Improvements,Traffic Signals Improvements,NA,900059.6,Road Maintenance
6927913.78,1804100318,Public Works,Regional Streets,Streets Renewals,McPhillips-Logan/Jarvis,6068280.13,859633.65,Road Maintenance
937666.26,1804100219,Public Works,Regional Streets,Streets Renewals,Colony-Ellice/Portage-NBCF,78542.36,859123.9,Road Maintenance
826249.72,1804200319,Public Works,Regional Streets,Sidewalk and Curb Repair,Sidewalk/Curb Renew-Dtwn RegSt,NA,826249.72,Road Maintenance
766905.82,1806200119,Public Works,Local Streets,Sidewalks,Sidewalk Renewals Local Street,NA,766905.82,Road Maintenance
971864.91,1806101118,Public Works,Local Streets,Lane Renewals,18-LI-01 WSP - Granular Imp,235379.92,736484.99,Water & Waste
1454092.93,6322100118,"Planning, Property and Development",Cemeteries,Cemeteries - Refurbishment and Improvements,Cemeteries - Improvements,733179.75,720913.18,Cemeteries
4675912.64,1807000117,Public Works,Regional Streets,Developer Paybacks,Developer Payback-Various Loc,3963323.52,712589.12,Road Maintenance
944067.64,2078500217,Land Drainage and Flood Control Utility,Flood Control,Outfalls,Outfall Gate Structures,243538.87,700528.77,Misc Capital Expenditure
769246.86,2004000716,Waterworks Utility,Distribution,Feeder Mains,Feedermain Condition Assessmnt,70565.43,698681.43,Water & Waste
720405.31,2040001300,Sewage Disposal Utility,Collection,Information Technology,WWD Business Intelligence  MRP,26377.7,694027.61,Water & Waste
691480.93,4210010619,Transit,Transit Building Replacement/Refurbishment,Building Upgrades,Heavy Shop Equip Replacement,0,691480.93,Public Transit
15457962.9,4230001409,Transit,Fare Collection System,Fare Collection/ Peggo Card System,Fare Collection System       M,14774285.91,683676.99,Public Transit
7846997.79,1832000717,Public Works,Regional Streets,Active Transportation Facilities,Bike Lane-Chevrier & Waverley,7181091.42,665906.37,Road Maintenance
6046865.18,1805002016,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Sask Ave Culvert (Sturgn Crk)M,5383496.43,663368.75,Road Maintenance
794873.06,1804100319,Public Works,Regional Streets,Streets Renewals,Memr Blvd NB-St Mry/Portg-NBCF,138058.82,656814.24,Road Maintenance
634026.5,1806102019,Public Works,Local Streets,Street Renewals,AssinPkDr-ComissryRd to ZooDr,NA,634026.5,Road Maintenance
1809652.71,6362400119,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Seven Oaks Pool-Concrte Restor,1177230.9,632421.81,Recreation
698240.25,2040000617,Sewage Disposal Utility,Treatment,Information Technology,Process Control Sys Upgrade,66572.65,631667.6,Water & Waste
628335.7,1831000119,Public Works,Regional Streets,Traffic Engineering Improvements,Traffic Engineer Improve     P,NA,628335.7,Road Maintenance
3685776.83,2030000515,Sewage Disposal Utility,Treatment,Reliability Upgrades,WPCC Asset Refurbish/Replace,3058620.25,627156.58,Water & Waste
1913451.35,4230030116,Transit,Innovative Transit Program,2016 Innovative Transit Program,Innovative Transit Program,1289971.9,623479.45,Public Transit
849494.93,6251000117,Community Services (including Community Incentive Grants),Grants,Community Incentive Grant Program,Community Incentive Grant Prog,251922.05,597572.88,Misc Capital Expenditure
83764155.33,1803000112,Public Works,Regional Streets,Street Improvements,Plessis Road Twinning and Grad,83193159.3,570996.03,Road Maintenance
640932.46,6331000518,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Portage & Main Inters. Improv,73187,567745.46,Misc Capital Expenditure
541803.65,2078500218,Land Drainage and Flood Control Utility,Flood Control,Outfalls,Outfall Gate Structures,0,541803.65,Misc Capital Expenditure
2844386.86,6392010114,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Pan Am Pool-Boiler System    M,2318667.21,525719.65,Recreation
2361431.05,1805001317,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Kenstn/Rt90 Wide & StJamsBridg,1842246,519185.05,Road Maintenance
6126528.08,1804101017,Public Works,Regional Streets,Streets Renewals,Ellice-Erin/Arlington,5609682.96,516845.12,Road Maintenance
509531.13,1801000220,Public Works,Other Street Projects,New Transportation,Chief Peguis Trail-Future Pmnt,NA,509531.13,Road Maintenance
3492669.53,4210000517,Transit,Transit Building Replacement/Refurbishment,Building Upgrades,Trn Bldg Roof and Ventil Upgra,2985049.91,507619.62,Public Transit
938526.35,4230010616,Transit,Rapid Transit,Rapid Transit Planning,Rapid Transit Plan & Design,434061.16,504465.19,Public Transit
8278323.33,1805001514,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Ness Ave Culvert (Sturgeon Cr),7774405.34,503917.99,Road Maintenance
809075.44,6362500217,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,St. James Civic Centre,308297.69,500777.75,Recreation
526456.61,1804100419,Public Works,Regional Streets,Streets Renewals,York-Osborne/Memorial-NBCF,31374.66,495081.95,Road Maintenance
1532167.23,6251000116,Community Services (including Community Incentive Grants),Grants,Community Incentive Grant Program,Community Incentive Grant Prog,1050870.3,481296.93,Misc Capital Expenditure
658571.01,1833000218,Public Works,Regional Streets,Active Transportation Facilities,Parking & St Enhance-Exchange,190211.53,468359.48,Road Maintenance
1294851.39,1832000118,Public Works,Regional Streets,Active Transportation Facilities,Pedestrian & Cycling Program,835572.26,459279.13,Recreation
630793.59,2030003018,Sewage Disposal Utility,Collection,Lift Stations,Comminutor Chamber Rehab,177525.74,453267.85,Water & Waste
954614.17,2005100200,Waterworks Utility,Supply and Treatment,Pumping Stations,Water SCADA Upgrade        MRP,516106.93,438507.24,Water & Waste
435828.95,2078000118,Land Drainage and Flood Control Utility,Flood Control,Outfalls,Outfall Rehabilitation,0,435828.95,Misc Capital Expenditure
597630.67,6252000118,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Community Centre Reno Grant,162831.04,434799.63,Recreation
431878.29,2037001718,Sewage Disposal Utility,Collection,Interceptors,Airport West Servicing,0,431878.29,Water & Waste
2984273.6,6210634214,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Fac Redev-St. John's M,2577051.49,407222.11,Libraries
422247.27,3459009918,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - Innovation Bench,21288.37,400958.9,"Innovation, Transformation & Technology"
388067.86,6322100119,"Planning, Property and Development",Cemeteries,Cemeteries - Refurbishment and Improvements,Cemeteries - Improvements,NA,388067.86,Cemeteries
536854.18,1857002014,Public Works,Parks and Open Space,Community Park Amenities,Crescent Drive Park,153528.95,383325.23,Parks and Urban Forestry
383000,1850000119,Public Works,Parks and Open Space,"Reforestation, Streets and Aesthetic Improvements",Reforestation - Improvements,NA,383000,Parks and Urban Forestry
394394.18,2037500018,Sewage Disposal Utility,Collection,River Crossing Rehab,River Crossings Monitoring   P,11400,382994.18,Water & Waste
417176.91,2001001713,Waterworks Utility,Distribution,Various,Public Water Outlets,42905.59,374271.32,Water & Waste
433502.36,6321000018,Fire Paramedic Service,Facilities,Maintenance,Station Capital Maintenance,68104.81,365397.55,Fire Service
363352.01,4210010419,Transit,Transit Building Replacement/Refurbishment,Building Upgrades,Hoist Replacement at FRG,0,363352.01,Public Transit
2006875.93,1806102118,Public Works,Local Streets,Street Renewals,LSR 18-R-02B AECOM,1649727.37,357148.56,Road Maintenance
349999.99,2040001818,Sewage Disposal Utility,Collection,Information Technology,WWD Document Management,1035.29,348964.7,Water & Waste
5970937.59,2001002700,Waterworks Utility,Supply and Treatment,Bridges,SL Aqued/Falcon Rvr Brid   MRP,5624690.79,346246.8,Water & Waste
974063.99,6351241517,"Planning, Property and Development",City Beautification,BIZ Zones Image Routes Main Streets,BIZ Zones Image Rtes Main Sts,631687.32,342376.67,City Beautification
3127436.44,1806300218,Public Works,Local Streets,Lane Renewals,Lane Renewals - 18-RL-01B,2792493.72,334942.72,Road Maintenance
1016466.58,6318010116,Public Works,Parks and Open Space,Community Parks,Regionl&Communty Pks-Bldgs,685805.82,330660.76,Parks and Urban Forestry
452963.22,1400000117,Assessment and Taxation,Assessment and Taxation,Assessment Automation,Assessment Automation,126444.1,326519.12,Misc Capital Expenditure
320883.63,400041715,City Clerks,City Clerks,Innovation Fund,ICF-CFRS Dashboard,NA,320883.63,"Innovation, Transformation & Technology"
419532.52,1804200218,Public Works,Regional Streets,Sidewalk and Curb Repair,Sidewalk/Curb Renew-Dtwn RegSt,100427.45,319105.07,Road Maintenance
314819.3,1806101819,Public Works,Local Streets,Street Renewals,Granular Lane Improvements,NA,314819.3,Road Maintenance
310622.04,1804200119,Public Works,Regional Streets,Sidewalk and Curb Repair,Sidewalk/Curb Renewals-Reg St,NA,310622.04,Road Maintenance
307688.53,1804101419,Public Works,Regional Streets,Streets Renewals,Mem Blvd SB-Portg-St MryA-NBCF,NA,307688.53,Road Maintenance
7065289.36,6351800417,"Planning, Property and Development",City Beautification,Other,Tache Promenade,6758957.55,306331.81,City Beautification
500000,2010000917,Waterworks Utility,Distribution,Information Technology,Utility Asset Mgmt System,197343.16,302656.84,Water & Waste
3039234.51,1857000117,Public Works,Parks and Open Space,Community Park Amenities,Parks & Rec Enhancement      P,2742764.06,296470.45,Parks and Urban Forestry
295745.53,6210000319,Community Services (including Community Incentive Grants),Information Technology,Upgrade/Replace,Library Tech Upgrade/Replace,NA,295745.53,Libraries
450324.06,1806101918,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways and Bk Path Renew,155426.81,294897.25,Recreation
291822,6351000219,"Planning, Property and Development",Developer Pay Back,Developer Pay Back/Park Amenities,Developer Payback,NA,291822,Parks and Urban Forestry
295130.43,2001002914,Waterworks Utility,Distribution,Various,552 & 598 Plinguet Fire Protec,8077.96,287052.47,Water & Waste
3150464.34,2062000300,Solid Waste Disposal Utility,Collection and Disposal,Brady Road,Brady Landfill-Admin Bldg  MRP,2867450.12,283014.22,Solid Waste Collection
283237.19,2030000518,Sewage Disposal Utility,Treatment,Reliability Upgrades,Asset Refurbish/Replace,967.71,282269.48,Water & Waste
277397.15,4210010218,Transit,Transit Building Replacement/Refurbishment,2018 Building General,Trn Bldg Roof and Ventil Upgra,0,277397.15,Public Transit
276947.03,1804102519,Public Works,Regional Streets,Streets Renewals,Staffrd-Corydn-Pembina-NBCF,NA,276947.03,Road Maintenance
5603546.4,1806101218,Public Works,Local Streets,Street Renewals,LSR 18-R-01 In-House,5328357.11,275189.29,Road Maintenance
272731.87,4210010519,Transit,Transit Building Replacement/Refurbishment,Building Upgrades,Rapid OH Doors at Washrack,0,272731.87,Public Transit
272251.9,6351241518,"Planning, Property and Development",City Beautification,BIZ Zones Image Routes Main Streets,BIZ Zones Image Rtes Main Sts,0,272251.9,City Beautification
266412.88,1852000218,Public Works,Parks and Open Space,Athletic Fields Improvements,Memorial Pk Soccer Pitch Light,1633.5,264779.38,Parks and Urban Forestry
264310.42,4230030118,Transit,Innovative Transit Program,2018 Innovative Transit Program,Innovative Transit Program,0,264310.42,Public Transit
2464101.37,1806100318,Public Works,Local Streets,Street Renewals,LSR 18-RI-02 WSP,2201108.21,262993.16,Road Maintenance
354033.86,6390005017,Municipal Accommodations,Property Asset Management,City-Wide Accessibility Program,City-Wide Accessibility Prog,94566.59,259467.27,Misc Capital Expenditure
1892329.89,1832000517,Public Works,Regional Streets,Active Transportation Facilities,Bike Lane-McDermot (Phase 1),1640476.19,251853.7,Road Maintenance
668730.87,2010001118,Waterworks Utility,Distribution,Information Technology,Web Self Service,418005.14,250725.73,Water & Waste
382535.09,1200001516,Corporate Projects,Enterprise Systems,PeopleSoft,PS Accounts Receivable Billing,133118.47,249416.62,Misc Capital Expenditure
249402.1,1853000318,Public Works,Parks and Open Space,Parks Improvements,Regional Parks,0,249402.1,Parks and Urban Forestry
2320554.56,1806101317,Public Works,Local Streets,Street Renewals,LSR 17/16-R-07-WSP,2076459.02,244095.54,Road Maintenance
241280.07,4210001217,Transit,Transit Buses,2017 Transit Bus Cameras,Bus Fleet Cameras,0,241280.07,Public Transit
6357852.37,1832000417,Public Works,Regional Streets,Active Transportation Facilities,Ped & Cycle-Chief Peguis Trail,6119311.89,238540.48,Recreation
348059.75,2005000317,Waterworks Utility,Supply and Treatment,Pumping Stations,Pump Station Reliability Upgrd,109802.04,238257.71,Water & Waste
1729053.66,2062000618,Solid Waste Disposal Utility,Collection and Disposal,Brady Road,Brady Drainage Roadwy&Site Imp,1490877.74,238175.92,Solid Waste Collection
317738.04,1400000318,Assessment and Taxation,Assessment and Taxation,Assessment Data Valuation Information System,Assessm.Data Valuat. Info Sys,85428.71,232309.33,Misc Capital Expenditure
232044.62,1858000119,Public Works,Parks and Open Space,Community Park Amenities,St James Optimist Park Restore,NA,232044.62,Parks and Urban Forestry
881786.6,6252000117,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Community Centre Reno Grant,649785.41,232001.19,Recreation
1637254.92,4210010116,Transit,Transit Building Replacement/Refurbishment,2016 Building General,Trn Bldg Replce/Refurb General,1408000.83,229254.09,Public Transit
4660486.71,1806100818,Public Works,Local Streets,Street Renewals,LSR 18-R-06 WSP,4442382.25,218104.46,Road Maintenance
229325.58,4210000317,Transit,Transit Building Replacement/Refurbishment,2017 Building General,Trn Bldg Replce/Refurb General,12869.36,216456.22,Public Transit
215205.95,1804100120,Public Works,Regional Streets,Streets Renewals,Dublin Av-NtrDm to StJams-NBCF,NA,215205.95,Road Maintenance
569755.85,6390000117,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,Community Centres- Refurbish,355601.43,214154.42,Recreation
6061773.65,6213001114,Community Services (including Community Incentive Grants),Library,Library Redevelopment- New,Library Fac Redev-Transcona  M,5854130.55,207643.1,Libraries
205048.78,1857001719,Public Works,Parks and Open Space,Community Park Amenities,PREP-Priority Safety-Related,NA,205048.78,Parks and Urban Forestry
201088.27,2060000619,Solid Waste Disposal Utility,Collection and Disposal,Other Landfills,Closed Landfill Site Improv,NA,201088.27,Solid Waste Collection
288765.01,1831200118,Public Works,Regional Streets,Traffic Engineering Improvements,Permanent Traffic Monitoring,88338.42,200426.59,Road Maintenance
211951.64,1857000718,Public Works,Parks and Open Space,Community Park Amenities,PREP-North Kildonan,11905.15,200046.49,Parks and Urban Forestry
200009.09,8310000119,Winnipeg Fleet Management Agency,Fleet Shop,Shop Tools & Equipment Upgrades,Shop Tools and Equip Upgrades,NA,200009.09,Fleet
200000,8310000319,Winnipeg Fleet Management Agency,Fleet Shop,,Fuel Site Upgrades and Improv,NA,200000,Fleet
211190.42,2030001818,Sewage Disposal Utility,Collection,Lift Stations,Arc Flash Hazard Analysis/Remd,14513.85,196676.57,Water & Waste
197880.17,2012000217,Waterworks Utility,Supply and Treatment,Aqueduct,Aqueduct Intake Con Assmt,1299.14,196581.03,Water & Waste
196260.04,400231717,City Clerks,City Clerks,Innovation Fund,ICF-ElectricVehicles &Charging,NA,196260.04,"Innovation, Transformation & Technology"
194204.39,1805002419,Public Works,Local Streets,Waterway Crossings and Grade Separations Various,Sherwin Road Bridge (Omand's),NA,194204.39,Road Maintenance
191586.21,1806300319,Public Works,Local Streets,Lane Renewals,Alley Package - 19-RL-03,NA,191586.21,Road Maintenance
187923.65,1804102819,Public Works,Regional Streets,Streets Renewals,Corydon-Cambridg-Staffrd-NBCF,NA,187923.65,Road Maintenance
187708.27,1832000119,Public Works,Regional Streets,Active Transportation Facilities,Pedestrian & Cycling Program,NA,187708.27,Recreation
185689.91,3458200019,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Microsoft Software Renewal,NA,185689.91,"Innovation, Transformation & Technology"
185343.41,6395000119,Municipal Accommodations,Property Asset Management,Accommodation Facilities,Accommodation Facilities,NA,185343.41,Misc Capital Expenditure
199584.14,4210001218,Transit,Transit Security Enhance,Transit Safety Mgmt Practices,Transit Safety Mgmt Practices,15939.72,183644.42,Public Transit
182148.26,1857000818,Public Works,Parks and Open Space,Community Park Amenities,PREP-Old Kildonan,2317.5,179830.76,Parks and Urban Forestry
177406.87,4230030119,Transit,Innovative Transit Program,2019 Innovative Transit Program,Innovative Transit Program,NA,177406.87,Public Transit
329602.64,3457000017,Customer Service and Corporate Communications,Software,Contact Centre - 311,311 Renewal,154611.48,174991.16,311 Contact Centre
185679.04,1857000218,Public Works,Parks and Open Space,Community Park Amenities,PREP-Charleswood - Tuxedo,11005.28,174673.76,Parks and Urban Forestry
783467.44,2004000715,Waterworks Utility,Distribution,Feeder Mains,Feedermain Condition Assessmnt,609207.05,174260.39,Water & Waste
283003.58,1853000418,Public Works,Parks and Open Space,Parks Improvements,St. John's Park Lighting,109558.63,173444.95,Parks and Urban Forestry
172063.91,3459000918,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - EOC-BusinessContinuity,214.31,171849.6,"Innovation, Transformation & Technology"
171273.03,1804103419,Public Works,Regional Streets,Streets Renewals,Sargt Ave-ArlingtontoErin-NBCF,NA,171273.03,Road Maintenance
169604.88,2030001819,Sewage Disposal Utility,Collection,Lift Stations,Arc Flash Hazard Analysis/Remd,NA,169604.88,Water & Waste
168261.61,6362500519,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Grant Park Recreation Campus,NA,168261.61,Recreation
